id,name
1,Catering Team A
2,Catering Team B
3,Catering Team C
4,Catering Team D
5,Catering Team E
6,Catering Team F
7,Hair and Makeup Team A
8,Hair and Makeup Team B
9,Hair and Makeup Team C
10,Hair and Makeup Team D
11,Hair and Makeup Team E
12,Hair and Makeup Team F
13,Photo and Video Team A
14,Photo and Video Team B
15,Photo and Video Team C
16,Photo and Video Team D
17,Photo and Video Team E
18,Photo and Video Team F
19,Designing Team A
20,Designing Team B
21,Designing Team C
22,Designing Team D
23,Designing Team E
24,Designing Team F
25,Entertainment Team A
26,Entertainment Team B
27,Entertainment Team C
28,Entertainment Team D
29,Entertainment Team E
30,Entertainment Team F
31,Coordination Team A
32,Coordination Team B
33,Coordination Team C
34,Coordination Team D
35,Coordination Team E
36,Coordination Team F
37,Catering Management
38,Hair and Makeup Management
39,Photo and Video Management
40,Designing Management
41,Entertainment Management
42,Coordination Management
